tweet_id,sentiment,content;
1956967341,vazio,@tiffanylue eu sei que estava ouvindo o mau hábito mais cedo e comecei a enlouquecer na parte dele =[;
1956967666,tristeza,Deitado na cama com dor de cabeça uiiiiii... esperando sua ligação...;
1956967696,tristeza,Cerimônia fúnebre... sexta-feira sombria...;
1956967789,entusiasmo,quer sair com os amigos EM BREVE!;
"1956968416,neutro,""@dannycastillo Queremos negociar com alguém que tenha ingressos para o Corinthians, mas ninguém o fará.""";
1956968477,preocupação,Re-pingando @ghostridah14: por que você não foi ao baile? Porque meu namorado não gostava dos meus amigos;
"1956968487,tristeza,""Eu deveria estar dormindo, mas não estou! pensando em um velho amigo que eu quero. mas ele é casado agora. Droga";"ele me quer também! incrível!"""
1956968636,preocupação,Hmmm. http://www.djhero.com/ está fora do ar;
1956969035,tristeza,@charviray Charlene meu amor. Eu sinto sua falta;
1956969172,tristeza,@kelcouch Desculpe, pelo menos é sexta-feira?;
1956969456,neutro,não consigo dormir;
1956970047,tristeza,Eca! Eu tenho que vencer essa música estúpida para chegar à próximo rodada!;
1956970424,tristeza,@BrodyJenner se você assistir as colinas em londres, você vai perceber o que é tortura, porque com semanas e semanas de atraso eu assisto online kkk;
1956970860,surpresa,Recebi as notícias;
1956971077,tristeza,A tempestade chegou e a eletricidade se foi;
1956971170,amor,@annarosekerr de acordo;
1956971206,tristeza,Tão sonolento de novo e nem é tão tarde. Eu falhei mais uma vez.;
1956971473,preocupação,@PerezHilton Lady Gaga twittou sobre não ficar impressionada com seu vídeo vazando só para você saber;
1956971981,preocupação,@raaaaaaek ai que pena! Eu espero que fique melhor. Eu tenho tido problemas de sono ultimamente também;
"1956972097,alegria,""Me perguntando por que estou acordado às 7 da manhã, escrevendo uma nova música, tramando meus planos secretos malignos muahahaha... ah, droga, não é mais segredo""";
1956974706,ódio,É tão chato quando ela começa a digitar no computador no meio da noite!;
1956975876,neutro,sente contrações fortes, mas quer sair. http://plurk.com/p/wxidk;
1956976557,neutro,tem trabalho esta tarde;
1956976681,neutro,@GABBYiSACTiVE Ah, você não deixaria de me seguir, não é? Então eu iria chorar;
1956977084,felicidade,mmm dia muito melhor... até agora! ainda é bem cedo. último dia de #uds;
1956978276,vazio,@creyes ensino médio e elementar. As escolas de ensino médio permanecerão abertas para aqueles que precisam de créditos para se formar. Cali está quebrado;
"1956985535,felicidade,""@havingmysay cara, esse é o meu lugar de sanduíche favorito de todos os tempos. hummm vc tirou FOTOS?""";
1956987600,ódio,caramba! hulu desktop estragou totalmente minha capacidade de falar com uma porta específica em um de nossos servidores de desenvolvimento. então eu não posso assistir e programar;
1956989093,amor,@RobertF3 correto! Eu o adoro. Eu apenas o peguei e coloquei debaixo do meu braço porque ele estava chorando. Tudo melhor agora! Hahaha;
1956991704,ódio,@mileycyrus ESTE SITE ME PASSOU UM VÍRUS! Quando eu abri mais janelas continuaram aparecendo;
1956996081,ódio,@IamYeTe Waraku é insípido e caro! A porção é tão pequena!!!!! re: waraku;
1956996385,amor,@freepbx soa bem. Gostei da sugestão. Já faz uma semana e ainda estamos offline Hora de pedir um reembolso...;
1957000336,vazio,@softtouchme acabou de responder a você - nunca aprendi a escrever em francês - apenas coisas básicas -;
1957004749,ódio,você não odeia quando termina todo o seu trabalho e ainda resta 1,25 horas para trabalhar;
"1957005410,surpresa,""Faltam 2 dias deste mês e só tenho 400 MB restantes paradownload.""";
1957005696,diversão,@IdleThumbs Up está fora? Não recebi o memorando. Parece incrível.;
1957007268,diversão,@relly1 OMG Você está vivo!!! 2 dias passaram tão devagar kkk Estou ficando louco Grrr Você está fazendo alguma coisa hoje à noite?;
1957007357,vazio,Estou com dor de cabeça, vou dormir. Boa noite!;
1957008434,surpresa,@Bern_morley onde você está? Em Bris? Eu não ouço nada;
1957008766,surpresa,Eu sonhei com uma praia bonita e não havia praia quando acordei;
1957012535,vazio,@DymeDiva23 Noite. Agora estou acordado e entediado em vez de quase dormir de b 4;
1957016086,surpresa,Por que estou fazendi testes do facebook a esta hora da manhã?... especialmente uma manhã de sexta-feira;
"1957017522,felicidade,""Fiz uma prova de matemática hoje. No dia anterior ao teste, o professor diz para trazer sua calculadora. Lucas estava confiante. O professor decidiu não fazer cálculos.""";
"1957017595,felicidade,""Meu Deus, o show foi incrível, as músicas me deram calafrios em quase todas as partes ... O brooks também chamou ex-alunos, mas eu não pude ir """;
"1957020385,felicidade,""Eu não posso fazer 30 minutos de esteira, mas fiz 30 minutos por hoje, vou fazer mais 20 minutos""";
1957031859,diversão,@OooChelcyooO Isso é incrível! Temos isso neste fim de semana também, mas não posso ir porque estou me mudando neste sábado. Mas deveria ser muito divertido;
1957062698,amor,Eu quero ir para o Peru neste verão ahhhhhhh! Tomara! Sim Sim Sim! saudades de lá!!!;
1957066701,entusiasmo,Eu quero outro desse;
"1957067779,entusiasmo,""Então, eu preciso ganhar muito dinheiro amanhã""";
1957072637,amor,@ddlovato mal posso esperar para ouvir seu novo álbum. eu tenho certeza que vai ser incrível. por favor, apenas repita para mim eu te amo tanto!!!!;
1957073668,entusiasmo,@lilxamyx08 eu sei ridículo! nós nunca conseguimos sair eu amo chicago e quero ir às compras... então uma viagem parece divertida;
1957124444,diversão,@JetWolf Eu sei que gosto de ver vocês dois no twitter. Tão divertido quanto os quadrinhos. Que eu sinto falta;
1957136998,entusiasmo,Contando os minutos para a namorada do meu pai ir embora;
1957150281,diversão,@BriannaBanshee uma decepção hhaha;
1956993007,tédio,eu estou tão cansado;
"1957014389,alívio,""preciso terminar de pintar todos os móveis do quarto, ainda tenho que fazer a mesa, mas vai esperar até depois da mudança. Uggh se movendo no calor""";
"1957037860,alívio,""Relâmpagos e trovões assustadores Estou feliz que acabou agora. Vou dormir, espero não me atrasar para a escola amanhã de novo. Haha""";
1957044366,tédio,por que eu concordei em trabalhar um turno duplo!!;
1957053409,alívio,estou em casa. com segurança... mas com fome;
"1957065570,alívio,""@AnthonyLucas @iainfunnell Sim, movendo-se fisicamente também! Aparentemente estaremos reportando diretamente ao Sr. Garcia...""";
"1957083786,tédio,""estou muito, muito entediado... acho que vou para a cama""";
1957089935,raiva,Trabalhando Mas é sextaaaaaaaaaaa;
1957110088,raiva,Eu não gosto de fazer as malas.;
1957147618,alívio,@colstewart Você está pedalando, mas isso é bom. Alimentação saudável Saudável e alimentação são uma contradição em termos.;
"1957183352,tédio,""ESSA MERDA DO TWITTER ME ENTENDE, AGORA EU SEI PORQUE NÃO ENTRO AQUI HÁ UM MÊS""";
1957208962,tédio,Na verdade, ainda não consegui comprar nada na loja. Erro constante do servidor no check-out;
1957289252,raiva,Eu tentei pintar meu cabelo e tudo que consegui foi um pedaço loiro na parte da frente do meu cabelo. Droga.;
1957477724,raiva,Meu estômago está todo EXPLODIDO de McDonalds por que tudo que tem gosto bom é ruim para você?;
"1957589597,raiva,""Um Jesus histórico já existiu? Estou achando difícil provar, é tudo boato... isso me incomoda...""";
